"projectID";"topic";"title"
"883321";"SU-DS05-2018-2019";"Digital security, privacy, data protection and accountability in critical sectors"
"652574";"ICT-37-2014-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"798063";"MSCA-IF-2017";"Individual Fellowships"
"823830";"INFRAEDI-02-2018";"HPC PPP - Centres of Excellence on HPC"
"645487";"ICT-17-2014";"Cracking the language barrier"
"867602";"EIC-SMEInst-2018-2020";"SME instrument"
"791006";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"768049";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"882486";"EIC-SMEInst-2018-2020";"SME instrument"
"886094";"MSCA-IF-2019";"Individual Fellowships"
"642354";"WATER-4a-2014";"Dissemination and exploitation, ICT, knowledge, gaps, research needs, etc"
"828048";"EIC-SMEInst-2018-2020";"SME instrument"
"739367";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"878371";"EIC-SMEInst-2018-2020";"SME instrument"
"960589";"EIC-SMEInst-2018-2020";"SME instrument"
"795937";"MSCA-IF-2017";"Individual Fellowships"
"807204";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"762676";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"640957";"ERC-PoC-2014";"ERC Proof of Concept Grant"
"713410";"ERC-PoC-2015";"ERC Proof of Concept Grant"
"636727";"SPIRE-04-2014";"Methodologies, tools and indicators for cross-sectorial sustainability assessment of energy and resource efficient solutions in the process industry"
"751918";"MSCA-IF-2016";"Individual Fellowships"
"696305";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"642676";"MSCA-ITN-2014-EID";"Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)"
"709267";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"101003876";"LC-CLA-12-2020";"Advancing climate services"
"788247";"ERC-2017-ADG";"ERC Advanced Grant"
"723395";"ART-04-2016";"Safety and end-user acceptance aspects of road automation in the transition period"
"860124";"MSCA-ITN-2019";"Innovative Training Networks"
"880412";"EIC-SMEInst-2018-2020";"SME instrument"
"698081";"IT-1-2015";"Small business innovation research for Transport"
"801051";"FETHPC-02-2017";"Transition to Exascale Computing"
"641515";"GALILEO-2-2014";"Small and Medium Enterprise (SME) based EGNSS applications"
"846139";"MSCA-IF-2018";"Individual Fellowships"
"727595";"ERC-PoC-2016";"ERC-Proof of Concept-2016"
"869882";"CE-SPIRE-05-2019";"Adaptation to variable feedstock through retrofitting (IA 50%)"
"773312";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"718124";"SC5-20-2015-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"737858";"SC1-PM-14-2016";"EU-Japan cooperation on Novel ICT Robotics based solutions for active and healthy ageing at home or in care facilities"
"762055";"ICT-07-2017";"5G PPP Research and Validation of critical technologies and systems"
"662704";"ICT-37-2014-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"832681";"EIC-SMEInst-2018-2020";"SME instrument"
"808137";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"773375";"SFS-35-2017";"Innovative solutions for sustainable food packaging"
"697515";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"736876";"FETOPEN-01-2016-2017";"FET-Open research and innovation actions"
"101019718";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"101020415";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"876355";"EIC-SMEInst-2018-2020";"SME instrument"
"886461";"JTI-CS2-2019-CfP10-SYS-01-16";"Innovative processing for flight practices improvement"
"730766";"FTIPilot-01-2016";"Fast Track to Innovation Pilot"
"878133";"EIC-SMEInst-2018-2020";"SME instrument"
"640997";"ERC-PoC-2014";"ERC Proof of Concept Grant"
"886264";"EIC-SMEInst-2018-2020";"SME instrument"
"736526";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"812844";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"836544";"EIC-SMEInst-2018-2020";"SME instrument"
"778550";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"700174";"DRS-09-2015";"Disaster Resilience & Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices"
"861111";"MG-2-8-2019";"Innovative applications of drones for ensuring safety in transport"
"710070";"PHC-12-2015-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"768790";"ERC-2017-PoC";"ERC-Proof of Concept"
"817073";"EIC-SMEInst-2018-2020";"SME instrument"
"659860";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"671564";"FETHPC-1-2014";"HPC Core Technologies, Programming Environments and Algorithms for Extreme Parallelism and Extreme Data Applications"
"818064";"ERC-2018-COG";"ERC Consolidator Grant"
"640448";"ERC-StG-2014";"ERC Starting Grant"
"871710";"ICT-03-2018-2019";"Photonics Manufacturing Pilot Lines for Photonic Components and Devices"
"644938";"ICT-23-2014";"Robotics"
"893732";"MSCA-IF-2019";"Individual Fellowships"
"651185";"PHC-12-2014-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"888950";"EIC-SMEInst-2018-2020";"SME instrument"
"101014977";"ICT-36-2020";"Disruptive photonics technologies"
"768914";"ERC-2017-PoC";"ERC-Proof of Concept"
"951821";"FETFLAG-05-2020";"Complementary call on Quantum Computing"
"957565";"ERC-2020-POC";"Call for proposals for ERC Proof of Concept Grant"
"728974";"SMEInst-02-2016-2017";"Accelerating the uptake of nanotechnologies advanced materials or advanced manufacturing and processing technologies by SMEs"
"825322";"ICT-24-2018-2019";"Next Generation Internet - An Open Internet Initiative"
"824022";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"642743";"MSCA-ITN-2014-EID";"Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)"
"777826";"MSCA-RISE-2017";"Research and Innovation Staff Exchange"
"733711";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"951989";"ICT-55-2020";"Interactive Technologies"
"762947";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"825995";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"731711";"DS-01-2016";"Assurance and Certification for Trustworthy and Secure ICT systems, services and components"
"946915";"EIC-SMEInst-2018-2020";"SME instrument"
"792103";"LCE-11-2017";"Near-to-market solutions for reducing the water consumption of CSP Plants"
"673188";"ICT-37-2014-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"822784";"EIC-SMEInst-2018-2020";"SME instrument"
"889409";"EIC-SMEInst-2018-2020";"SME instrument"
"961522";"EIC-SMEInst-2018-2020";"SME instrument"
"808677";"SMEInst-06-2016-2017";"Accelerating market introduction of ICT solutions for Health, Well-Being and Ageing Well"
"101017984";"MSCA-IF-2020";"Individual Fellowships"
"821461";"JTI-CS2-2017-CfP07-SYS-01-07";"Development of a system for pilot eye gaze and gesture tracking in the cockpit environment"
"885469";"ERC-2019-POC";"ERC Proof of Concept Grant"
"865044";"JTI-CS2-2018-CfP09-SYS-03-21";"Aircraft wing architecture optimal assembly"
"855689";"EIC-SMEInst-2018-2020";"SME instrument"
"780487";"ERC-2017-PoC";"ERC-Proof of Concept"
"815043";"EIC-SMEInst-2018-2020";"SME instrument"
"964363";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"660646";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"776425";"GALILEO-3-2017";"EGNSS professional applications"
"858070";"MSCA-ITN-2019";"Innovative Training Networks"
"713613";"ERC-PoC-2015";"ERC Proof of Concept Grant"
"790083";"SMEInst-13-2016-2017";"Engaging SMEs in security research and development"
"649690";"EE-12-2014";"Socioeconomic research on energy efficiency"
"790017";"MSCA-IF-2017";"Individual Fellowships"
"705112";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"842184";"MSCA-IF-2018";"Individual Fellowships"
"101020005";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"859507";"EIC-SMEInst-2018-2020";"SME instrument"
"790594";"ERC-2017-PoC";"ERC-Proof of Concept"
"806245";"SMEInst-01-2016-2017";"Open Disruptive Innovation Scheme"
"787413";"ERC-2017-ADG";"ERC Advanced Grant"
"707482";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"101014517";"S2R-OC-IP2-02-2020";"Study on alternative bearers and on communication protocols"
"889906";"EIC-SMEInst-2018-2020";"SME instrument"
"667507";"ERC-ADG-2014";"ERC Advanced Grant"
"645198";"ICT-11-2014";"FIRE+ (Future Internet Research & Experimentation)"
"882365";"EIC-SMEInst-2018-2020";"SME instrument"
"729692";"SMEInst-10-2016-2017";"Small business innovation research for Transport and Smart Cities Mobility"
"637713";"ERC-StG-2014";"ERC Starting Grant"
"732463";"ICT-10-2016";"Software Technologies"
"832907";"SU-DS04-2018-2020";"Cybersecurity in the Electrical Power and Energy System (EPES): an armour against cyber and privacy attacks and data breaches"
"813467";"MSCA-ITN-2018";"Innovative Training Networks"
"799553";"MSCA-IF-2017";"Individual Fellowships"
"848986";"EIC-SMEInst-2018-2020";"SME instrument"
"696480";"IT-1-2015-1";"Small business innovation research for Transport"
"889026";"EIC-SMEInst-2018-2020";"SME instrument"
"835593";"EIC-SMEInst-2018-2020";"SME instrument"
"644122";"ICT-05-2014";"Smart Networks and novel Internet Architectures"
"822458";"EIC-SMEInst-2018-2020";"SME instrument"
"704476";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"707688";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"945929";"EIC-SMEInst-2018-2020";"SME instrument"
"868677";"EIC-SMEInst-2018-2020";"SME instrument"
"761689";"SMEInst-12-2016-2017";"New business models for inclusive, innovative and reflective societies"
"966703";"ERC-2020-POC";"Call for proposals for ERC Proof of Concept Grant"
"822688";"MIGRATION-08-2018";"Addressing the challenge of forced displacement"
"665906";"GARRI-1-2014";"Fostering RRI uptake in current research and innovations systems"
"957269";"ICT-51-2020";"Big Data technologies and extreme-scale analytics"
"681285";"ERC-CoG-2015";"ERC Consolidator Grant"
"816857";"EIC-SMEInst-2018-2020";"SME instrument"
"680169";"EE-18-2015";"New technologies for utilization of heat recovery in large industrial systems, considering the whole energy cycle from heat production to transformation, delivery and end use"
"710145";"ICT-37-2015";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"875067";"ERC-2019-POC";"ERC Proof of Concept Grant"
